,imp_code_str3,imp_name,HS2,description,USD,tonne
0,016,American Samoa,27," Anthracite, not agglomerated",48683462.0,74389.22
1,016,American Samoa,03," Ornamental fish, live",23797329.0,8785.92
2,016,American Samoa,48, Newsprint,4657266.0,3135.0209999999997
3,016,American Samoa,84, Nuclear reactors,4084483.0,269.09000000000003
4,016,American Samoa,85, Electric motors of an output < 37.5 watts,3671441.0,81.471
5,016,American Samoa,19," Infant foods of cereals, flour, starch or milk, retai",3589808.0,1240.86
6,016,American Samoa,44, Fuel wood,3494542.0,6042.957
7,016,American Samoa,16," Sausages, similar products of meat, meat offal & bloo",2954047.0,592.591
8,016,American Samoa,87, Pedestrian controlled tractors,2741404.0,225.21399999999997
9,016,American Samoa,04, Milk not concentrated nor sweetened < 1% fat,2710405.0,1852.805
10,016,American Samoa,02," Bovine carcasses and half carcasses, fresh or chilled",2351771.0,566.126
11,016,American Samoa,73, Sheet piling of iron or steel,1906751.0,567.331
12,016,American Samoa,22, Mineral and aerated waters not sweetened or flavoured,1889050.0,2329.095
13,016,American Samoa,25," Salt (sodium chloride) including solution, salt water",1736109.0,13229.194
14,016,American Samoa,72," Pig iron, non-alloy, <0.5% phosphorus",1689951.0,1732.04
15,016,American Samoa,94," Seats, aircraft",1479627.0,550.7149999999999
16,016,American Samoa,39, Polyethylene - specific gravity <0.94 in primary form,1270678.0,384.12600000000003
17,016,American Samoa,90," Optical fibres, except for telecommunications",962115.0,5.755
18,016,American Samoa,17," Raw sugar, cane",896683.0,1054.637
19,016,American Samoa,55," Filament tow of nylon, polyamides",701586.0,51.957
20,016,American Samoa,20," Cucumbers,gherkins, prepared or preserved by vinegar",546711.0,401.60900000000004
21,016,American Samoa,68," Stone setts, curbstones, flagstones (except slate)",531591.0,978.588
22,016,American Samoa,21," Coffee extracts, essences, concentrates, preparations",512640.0,154.586
23,016,American Samoa,62," Mens, boys overcoats of wool or hair, not knit",473339.0,12.280999999999999
24,016,American Samoa,89," Cruise ships, excursion boats, ferry boats",462435.0,3.512
25,016,American Samoa,33, Essential oils of bergamot,460102.0,86.657
26,016,American Samoa,56," Sanitary towels, diapers and similar articles",402178.0,71.836
27,016,American Samoa,34," Soaps, for toilet use, solid",352339.0,184.227
28,016,American Samoa,08," Coconuts, fresh or dried",338859.0,271.13
29,016,American Samoa,54, Sewing thread of synthetic filaments,333068.0,33.862
30,016,American Samoa,38, Artificial graphite,306459.0,204.13299999999998
31,016,American Samoa,07," Potatoes seed, fresh or chilled",306162.0,369.815
32,016,American Samoa,13, Lac,279052.0,98.8
33,016,American Samoa,76," Aluminium unwrought, not alloyed",263208.0,51.662
34,016,American Samoa,32, Quebracho tanning extract,257554.0,30.384
35,016,American Samoa,69," Bricks, blocks and ceramic goods of siliceous earths",248832.0,3917.633
36,016,American Samoa,83, Padlocks of base metal,246311.0,21.266000000000002
37,016,American Samoa,95," Rideable wheeled toys, dolls carriages",245030.0,42.92
38,016,American Samoa,11, Wheat or meslin flour,234543.0,435.738
39,016,American Samoa,61," Mens, boys overcoats, etc, of wool or hair, knit",216443.0,7.808000000000001
40,016,American Samoa,30," Glands and other organs, dried, for therapeutic uses",199975.0,3.145
41,016,American Samoa,63, Electric blankets of textile material,198691.0,18.482
42,016,American Samoa,40," Natural rubber latex, including prevulcanised",170144.0,31.837
43,016,American Samoa,52," Cotton, not carded or combed",155980.0,11.643
44,016,American Samoa,23," Flour or meal, pellet of meat or offal for animal fee",136542.0,276.604
45,016,American Samoa,70," Glass cullet, waste or scrap, glass in the mass",121131.0,48.799
46,016,American Samoa,96," Worked ivory, articles of ivory",99068.0,14.869
47,016,American Samoa,82, Spades and shovels,96680.0,5.308000000000001
48,016,American Samoa,29, Saturated acyclic hydrocarbons,96610.0,15.094000000000001
49,016,American Samoa,49," Brochures, leaflets and similar, in single sheets",89662.0,6.8549999999999995
50,016,American Samoa,88," Gliders, hang gliders",81798.0,0.157
51,016,American Samoa,64," Waterproof footwear (Wellingtons etc), metal toe cap",77033.0,12.584
52,016,American Samoa,09," Coffee, not roasted, not decaffeinated",73254.0,7.596
53,016,American Samoa,15," Lard, other pig fat and poultry fat, rendered",73200.0,37.03
54,016,American Samoa,18," Cocoa beans, whole or broken, raw or roasted",69086.0,6.2219999999999995
55,016,American Samoa,58," Woven pile fabric of wool or fine animal hair, w >30c",65870.0,1.74
56,016,American Samoa,60," ""Long pile"" knit or crochet textile fabric",44988.0,9.658
57,016,American Samoa,12, Soya beans,22801.0,0.897
58,016,American Samoa,86," Rail locomotives, externally electrically powered",20129.0,7.094
59,016,American Samoa,42," Saddlery and harness, of any material",18097.0,1.4499999999999997
60,016,American Samoa,92," Upright pianos, including auto-players",11637.0,0.313
61,016,American Samoa,35, Casein,10998.0,17.241
62,016,American Samoa,28, Chlorine,8758.0,1.587
63,016,American Samoa,65," Hat-forms, etc of felt, not shaped, no formed brim",7393.0,0.647
64,016,American Samoa,74, Copper mattes,7107.0,0.9680000000000001
65,016,American Samoa,37, X-ray plates and films,5735.0,0.245
66,016,American Samoa,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",5557.0,0.218
67,016,American Samoa,71," Pearls natural, not permanently mounted or set",2825.0,0.159
68,016,American Samoa,91," Wrist-watch, precious metal, battery, with hands",2679.0,0.01
69,016,American Samoa,79," Zinc, not alloyed, unwrought, >99% pure",2162.0,0.47200000000000003
70,016,American Samoa,10, Durum wheat,1489.0,1.174
71,016,American Samoa,93," Military weapons, other than hand guns, swords, etc",1274.0,0.038
72,016,American Samoa,59, Gum or amylaceous covered textiles for book covers et,1245.0,0.068
73,016,American Samoa,66, Garden and similar umbrellas,426.0,0.035
74,016,American Samoa,24," Tobacco, unmanufactured, not stemmed or stripped",402.0,0.003
75,016,American Samoa,05," Hair, human, unworked, waste of human hair",214.0,0.020999999999999998
76,016,American Samoa,46, Plaits and products of plaiting materials,161.0,0.026
77,016,American Samoa,78, Lead refined unwrought,60.0,0.02
